"","temperature","dewpoint_temperature","soil_temperature_level_1"
"1",286.022674560547,263.124298095703,283.396026611328
"2",287.835510253906,266.536163330078,285.394989013672
"3",288.092010498047,268.209014892578,285.668762207031
"4",287.996215820312,267.447357177734,285.978912353516
"5",286.102142333984,264.183227539062,285.679351806641
"6",283.89599609375,255.563232421875,284.013916015625
"7",285.252044677734,259.559967041016,283.477935791016
"8",285.544036865234,261.616668701172,283.399139404297
"9",285.437622070312,264.875213623047,284.014312744141
"10",286.207122802734,267.242767333984,283.759918212891
"11",287.440460205078,270.179870605469,284.539703369141
"12",287.475555419922,272.201202392578,286.165985107422
"13",286.974517822266,264.423675537109,286.654541015625
"14",287.130157470703,267.5625,286.672790527344
"15",288.699829101562,266.636413574219,287.26318359375
"16",289.229858398438,266.299102783203,286.944061279297
"17",288.471374511719,264.019012451172,287.253173828125
"18",290.035491943359,263.040985107422,286.582183837891
"19",289.008148193359,264.679931640625,286.11767578125
"20",289.095367431641,265.427612304688,285.844085693359
"21",289.746246337891,264.515258789062,286.609252929688
"22",290.694580078125,265.240478515625,288.816558837891
"23",289.471099853516,264.021728515625,286.085601806641
"24",289.211029052734,266.885406494141,288.817596435547
"25",291.137847900391,267.191497802734,290.949401855469
"26",289.587585449219,264.809844970703,287.445953369141
"27",290.377655029297,270.508209228516,291.011291503906
"28",289.828948974609,267.620574951172,287.437591552734
"29",289.664154052734,268.873443603516,288.307220458984
"30",291.123016357422,270.848541259766,290.209197998047
"31",291.686248779297,277.420349121094,292.206146240234
"32",286.293548583984,270.274353027344,288.060699462891
"33",283.148956298828,263.258209228516,284.620025634766
"34",284.569244384766,260.681030273438,286.307037353516
"35",284.252227783203,270.178924560547,285.815399169922
"36",287.621520996094,270.063385009766,289.367950439453
"37",286.237213134766,270.059600830078,286.633392333984
"38",287.089660644531,276.351013183594,288.575042724609
"39",288.581207275391,275.157653808594,289.661346435547
"40",290.163909912109,272.847717285156,291.093597412109
"41",292.293243408203,274.638153076172,292.453826904297
"42",291.94970703125,272.501495361328,292.247955322266
"43",290.008941650391,267.091278076172,290.586151123047
"44",293.191864013672,265.968536376953,291.043853759766
"45",293.771606445312,269.489929199219,291.652069091797
"46",293.142303466797,269.090301513672,292.180847167969
"47",294.475006103516,267.474456787109,293.637908935547
"48",293.993988037109,268.512512207031,292.392913818359
"49",293.863372802734,269.567047119141,294.087890625
"50",294.578460693359,270.489959716797,293.602813720703
"51",292.623596191406,264.143341064453,293.318695068359
"52",289.962158203125,260.721649169922,290.647888183594
"53",290.207366943359,263.931915283203,290.19873046875
"54",291.396301269531,265.048614501953,291.477752685547
"55",291.807708740234,268.961791992188,292.967407226562
"56",292.390167236328,271.257965087891,293.368621826172
"57",292.311706542969,274.633026123047,294.055206298828
"58",293.332855224609,278.335052490234,294.884826660156
"59",294.230560302734,277.776153564453,295.095062255859
"60",292.064361572266,280.631469726562,294.597747802734
"61",288.212677001953,279.122680664062,291.368194580078
"62",291.105865478516,277.563995361328,292.759521484375
"63",293.725708007812,274.494232177734,294.461700439453
"64",294.006164550781,273.704132080078,295.427764892578
"65",295.612213134766,271.737701416016,296.981964111328
